Focus8 Data Dictionary,,,,,,,
,,,,,,,
Master Tables:,,,,,,,
60,tCore_Data4608_0,ALL-Transaction,Stores body data for receipt,\receipts->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
61,tCore_Data4864_0,ALL-Transaction,Stores body data for payment,\payments->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
62,tCore_Data512_0,ALL-Transaction,Stores body data  for opening stocks,\opening stocks->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
63,tCore_Data5120_0,ALL-Transaction,Stores body data for petty cash,\petty cash->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
64,tCore_Data5376_0,ALL-Transaction,Stores body data for shortages in stock,\shortages in stock->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
65,tCore_Data5632_0,ALL-Transaction,Stores body data for sales order,\sales order->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
66,tCore_Data5633_0,ALL-Transaction,Stores body data  for production order,\production order->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
67,tCore_Data5888_0,ALL-Transaction,Stores body data for post dated receipts,\post dated receipts->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
68,tCore_Data6144_0,ALL-Transaction,Stores body data for delivery notes,\delivery notes->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
69,tCore_Data6400_0,ALL-Transaction,Stores body data for purchases returns,\purchase returns->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
70,tCore_Data6656_0,ALL-Transaction,Stores body data for issues to production,\issues to production->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
71,tCore_Data6912_0,ALL-Transaction,Stores body data for job work issues,\job work issues->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
72,tCore_Data7168_0,ALL-Transaction,Stores body data for post dated payments ,\post dated payments->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
73,tCore_Data7424_0,ALL-Transaction,Stores body data for sales quotations,\sales quotation->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
74,tCore_Data768_0,ALL-Transaction,Stores body data for purchase vouchers,\purchase vouchers->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
75,tCore_Data7680_0,ALL-Transaction,Stores body data for job order,\job orders->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
76,tCore_Data7936_0,ALL-Transaction,Stores body data for material requisition,\material requisition->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
77,tCore_Data8192_0,ALL-Transaction,Stores body data for request for quote,\request for quote->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
78,tCore_Data8448_0,ALL-Transaction,Stores body data for forex JV,\forex JV->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
79,tCore_Data8704_0,ALL-Transaction,Stores body data for journal entries,\journal entries->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
80,tCore_DataDocs1023_0,ALL-Transaction,Stores Data docs for stock adjustment,\Stock adjustment->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
81,tCore_DataDocs1024_0,ALL-Transaction,Data docs for receipts from production,\receipts from production->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
82,tCore_DataDocs1056_0,ALL-Transaction,Data docs for returns from shop floor,\returns from shop floor->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
83,tCore_DataDocs1280_0,ALL-Transaction,Data docs for material receipts note,\material receipts note->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
84,tCore_DataDocs1536_0,ALL-Transaction,Data docs for job work receipts,\job work receipts->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
85,tCore_DataDocs1792_0,ALL-Transaction,Data docs for sales returns,\sales returns->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
86,tCore_DataDocs2048_0,ALL-Transaction,Data docs for excesses in stocks,\excesses in stocks->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
87,tCore_DataDocs2304_0,ALL-Transaction,Data docs for purchase quatations,\purchase quatations->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
88,tCore_DataDocs256_0,ALL-Transaction,Data docs for opening balances,\opening balances->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
89,tCore_DataDocs2560_0,ALL-Transaction,Data docs for purchase orders,\purchase orders->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
90,tCore_DataDocs2561_0,ALL-Transaction,Data docs for job orders,\job orders->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
91,tCore_DataDocs2816_0,ALL-Transaction,Data docs for production process,\production process->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
92,tCore_DataDocs3072_0,ALL-Transaction,Data docs for stock transfer,\stock transfer->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
93,tCore_DataDocs3328_0,ALL-Transaction,Data docs for sales invoice,\sales invoice->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
94,tCore_DataDocs3329_0,ALL-Transaction,Data docs for cash sales,\cash sales->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
95,tCore_DataDocs3330_0,ALL-Transaction,Data docs for hire purchase sales,\hire purchase sales->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
96,tCore_DataDocs3331_0,ALL-Transaction,Data docs for POS sales ,\POS sales ->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
97,tCore_DataDocs3584_0,ALL-Transaction,Data docs for non-standard journal entries,\non->Post Transactionstandard journal entries->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
98,tCore_DataDocs3585_0,ALL-Transaction,Data docs for inter-departmental JV,\inter->Post Transactiondepartmental JV->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
99,tCore_DataDocs3586_0,ALL-Transaction,Data docs for debit notes(linewise),\debit notes(linewise)->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
100,tCore_DataDocs3587_0,ALL-Transaction,Data docs for credit notes(linewise)/payroll,\credit notes(linewise)\payroll->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
101,tCore_DataDocs3588_0,ALL-Transaction,Data docs for fixed asset depreciation voucher,\fixed asset depreciation voucher->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
102,tCore_DataDocs3840_0,ALL-Transaction,Data docs for debit note,\debit note->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
103,tCore_DataDocs4096_0,ALL-Transaction,Data docs for credit note,\credit note->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
104,tCore_DataDocs4097_0,ALL-Transaction,Data docs for payroll posting,\payroll posting->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
105,tCore_DataDocs4608_0,ALL-Transaction,Data docs for receipts,\receipts->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
106,tCore_DataDocs4864_0,ALL-Transaction,Data docs for payments,\payments->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
107,tCore_DataDocs512_0,ALL-Transaction,Data docs for opening stocks,\opening stocks->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
108,tCore_DataDocs5120_0,ALL-Transaction,Data docs for petty cash,\petty cash->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
109,tCore_DataDocs5376_0,ALL-Transaction,Data docs for shortages in stock,\shortages in stock->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
110,tCore_DataDocs5632_0,ALL-Transaction,Data docs for sales order,\sales order->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
111,tCore_DataDocs5633_0,ALL-Transaction,Data docs for production order,\production order->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
112,tCore_DataDocs5888_0,ALL-Transaction,Data docs for post dated receipts,\post dated receipts->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
113,tCore_DataDocs6144_0,ALL-Transaction,Data docs for delivery notes,\delivery notes->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
114,tCore_DataDocs6400_0,ALL-Transaction,Data docs for purchase returns,\purchase returns->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
115,tCore_DataDocs6656_0,ALL-Transaction,Data docs for issues to production,\issues to production->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
116,tCore_DataDocs6912_0,ALL-Transaction,Data docs for job work issues,\job work issues->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
117,tCore_DataDocs7168_0,ALL-Transaction,Data docs for post dated payments,\post dated payments->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
118,tCore_DataDocs7424_0,ALL-Transaction,Data docs for sales quotation,\sales quotation->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
119,tCore_DataDocs768_0,ALL-Transaction,Data docs for purchase vouchers,\purchase vouchers->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
120,tCore_DataDocs7680_0,ALL-Transaction,Data docs for job orders,\job orders->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
121,tCore_DataDocs7936_0,ALL-Transaction,Data docs for material requisition,\material requisition->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
122,tCore_DataDocs8192_0,ALL-Transaction,Data docs for request for quote,\request for quote->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
123,tCore_DataDocs8448_0,ALL-Transaction,Data docs for forex JV,\forex JV->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
124,tCore_DataDocs8704_0,ALL-Transaction,Data docs for journal entries,\journal entries->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
125,tCore_DataSkid_0,ALL-Transaction,Stores Skid related data. Skid is a storage pallet without bottom deck that can be utilized to store stocks with the help of forklift.,\Home\Settings\ConfigureTransactions\WarehouseManagement->Allow Skid,tCore_Data_0 ,iBodyId,iBodyId
126,tCore_Department_AuditLogDetails,ALL-Transaction,Department masters audit logs,\Home\Masters\Department->Edit department entry,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,iAuditId                                             ifieldId
127,tCore_Docs1023_0,ALL-Transaction,Header docs for Stock adjustment,\Stock adjustment->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
128,tCore_Docs1024_0,ALL-Transaction,Header docs for receipts from production,\receipts from production->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
129,tCore_Docs1056_0,ALL-Transaction,Header docs for returns from shop floor,\returns from shop floor->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
130,tCore_Docs1280_0,ALL-Transaction,Header docs for material receipts note,\material receipts note->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
131,tCore_Docs1536_0,ALL-Transaction,Header docs for job work receipts,\job work receipts->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
132,tCore_Docs1792_0,ALL-Transaction,Header docs for sales returns,\sales returns->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
133,tCore_Docs2048_0,ALL-Transaction,Header docs for excesses in stocks,\excesses in stocks->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
134,tCore_Docs2304_0,ALL-Transaction,Header docs for purchase quatations,\purchase quatations->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
135,tCore_Docs256_0,ALL-Transaction,Header docs for opening balances,\opening balances->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
136,tCore_Docs2560_0,ALL-Transaction,Header docs for purchase orders,\purchase orders->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
137,tCore_Docs2561_0,ALL-Transaction,Header docs for job orders,\job orders->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
138,tCore_Docs2816_0,ALL-Transaction,Header docs for production process,\production process->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
139,tCore_Docs3072_0,ALL-Transaction,Header docs for stock transfer,\stock transfer->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
140,tCore_Docs3328_0,ALL-Transaction,Header docs for sales invoice,\sales invoice->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
141,tCore_Docs3329_0,ALL-Transaction,Header docs for cash sales,\cash sales->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
142,tCore_Docs3330_0,ALL-Transaction,Header docs for hire purchase sales,\hire purchase sales->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
143,tCore_Docs3331_0,ALL-Transaction,Header docs for POS sales ,\POS sales ->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
144,tCore_Docs3584_0,ALL-Transaction,Header docs for non-standard journal entries,\non->Post Transactionstandard journal entries->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
145,tCore_Docs3585_0,ALL-Transaction,Header docs for inter-departmental JV,\inter->Post Transactiondepartmental JV->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
146,tCore_Docs3586_0,ALL-Transaction,Header docs for debit notes(linewise),\debit notes(linewise)->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
147,tCore_Docs3587_0,ALL-Transaction,Header docs for credit notes(linewise)/payroll,\credit notes(linewise)\payroll->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
148,tCore_Docs3588_0,ALL-Transaction,Header docs for fixed asset depreciation voucher,\fixed asset depreciation voucher->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
149,tCore_Docs3840_0,ALL-Transaction,Header docs for debit note,\debit note->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
150,tCore_Docs4096_0,ALL-Transaction,Header docs for credit note,\credit note->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
151,tCore_Docs4097_0,ALL-Transaction,Header docs for payroll posting,\payroll posting->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
152,tCore_Docs4608_0,ALL-Transaction,Header docs for receipts,\receipts->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
153,tCore_Docs4864_0,ALL-Transaction,Header docs for payments,\payments->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
154,tCore_Docs512_0,ALL-Transaction,Header docs for opening stocks,\opening stocks->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
155,tCore_Docs5120_0,ALL-Transaction,Header docs for petty cash,\petty cash->Post Transaction,tCore_Header_0,iHeaderId,iHeaderId
